Placa: EPU4443
Dispositivo: 3077057 Fabricante: RSTVT
Proprietario: EXPRESSO RODOVIARIO TRANSCARMEN LTDA
Marca: 
Modelo: 
Cor: BRANCO
Distancia Total: 981 Km
Velocidade Maxima: 141.0
Velocidade Media: 74.43
Tempo Total Ligado: 15h 37m
Motor Ocioso: 44m
Periodo: 26/11/2017 a 28/11/2017 - Data de Emissao: 29/11/2017

Placa;Dispositivo;Fabricante;Data Comunicacao;Data Posicao;Data Evento;Igni;Bloq;Vel;Alt;Val;Bat;On;Eventos;Sensores;Endereco;Motorista;Latitude;Longitude
EPU4443;3077057;RSTVT;27/11/2017 00:15:47;26/11/2017 23:59:32;26/11/2017 23:59:32;Ligada;Desativado;79.0;543;Valido;90%;Nao;Posição;;Rodovia prefeito fabio talarico - guaira - sp;;-20.44445;-48.273991
EPU4443;3077057;RSTVT;27/11/2017 00:15:46;26/11/2017 23:58:32;26/11/2017 23:58:31;Ligada;Desativado;74.0;532;Valido;90%;Nao;Posição;;Rodovia prefeito fabio talarico - guaira - sp;;-20.444233;-48.28624
EPU4443;3077057;RSTVT;27/11/2017 00:15:43;26/11/2017 23:57:32;26/11/2017 23:57:31;Ligada;Desativado;79.0;522;Valido;90%;Nao;Posição;;Rodovia prefeito fabio talarico - guaira - sp;;-20.443995;-48.298725
EPU4443;3077057;RSTVT;27/11/2017 00:15:42;26/11/2017 23:56:31;26/11/2017 23:56:31;Ligada;Desativado;85.0;527;Valido;90%;Nao;Posição;;Rodovia prefeito fabio talarico - guaira - sp;;-20.443754;-48.311722
EPU4443;3077057;RSTVT;27/11/2017 00:15:39;26/11/2017 23:55:31;26/11/2017 23:55:31;Ligada;Desativado;95.0;508;Valido;90%;Nao;Posição;;Rodovia prefeito fabio talarico - guaira - sp;;-20.443489;-48.325283
EPU4443;3077057;RSTVT;27/11/2017 00:15:38;26/11/2017 23:54:31;26/11/2017 23:54:30;Ligada;Desativado;75.0;513;Valido;90%;Nao;Posição;;Rodovia prefeito fabio talarico - guaira - sp;;-20.443569;-48.338943
EPU4443;3077057;RSTVT;27/11/2017 00:15:37;26/11/2017 23:53:30;26/11/2017 23:53:30;Ligada;Desativado;50.0;516;Valido;90%;Nao;Posição;;Rod sp-345 - 0 a 0 - guaira - SP;;-20.443899;-48.349789
EPU4443;3077057;RSTVT;27/11/2017 00:15:35;26/11/2017 23:52:30;26/11/2017 23:52:30;Ligada;Desativado;65.0;510;Valido;90%;Nao;Posição;;Rodovia prefeito fabio talarico - guaira - sp;;-20.444124;-48.357117
EPU4443;3077057;RSTVT;27/11/2017 00:01:11;26/11/2017 23:51:30;26/11/2017 23:51:29;Ligada;Desativado;78.0;506;Valido;90%;Nao;Posição;;Rodovia prefeito fabio talarico - guaira - sp;;-20.444492;-48.369438
EPU4443;3077057;RSTVT;27/11/2017 00:01:05;26/11/2017 23:50:29;26/11/2017 23:50:29;Ligada;Desativado;75.0;501;Valido;90%;Nao;Posição;;Rodovia prefeito fabio talarico - guaira - sp;;-20.444878;-48.38195
EPU4443;3077057;RSTVT;27/11/2017 00:00:54;26/11/2017 23:49:29;26/11/2017 23:49:29;Ligada;Desativado;78.0;503;Valido;90%;Nao;Posição;;Rodovia prefeito fabio talarico - guaira - sp;;-20.445259;-48.394348
