Placa: ESU3147
Dispositivo: 3073661 Fabricante: RSTVT
Proprietario: EXPRESSO RODOVIARIO TRANSCARMEN LTDA
Marca: 
Modelo: 
Cor: VERMELHO
Distancia Total: 357 Km
Velocidade Maxima: 117.0
Velocidade Media: 71.96
Tempo Total Ligado: 6h 39m
Motor Ocioso: 1h 10m
Periodo: 26/11/2017 a 28/11/2017 - Data de Emissao: 29/11/2017

Placa;Dispositivo;Fabricante;Data Comunicacao;Data Posicao;Data Evento;Igni;Bloq;Vel;Alt;Val;Bat;On;Eventos;Sensores;Endereco;Motorista;Latitude;Longitude
ESU3147;3073661;RSTVT;27/11/2017 00:05:07;26/11/2017 23:59:04;26/11/2017 23:59:04;Ligada;Desativado;67.0;542;Valido;91%;Sim;Posição;;Rodovia armando salles de oliveira - olimpia - sp;;-20.638308;-48.917133
ESU3147;3073661;RSTVT;26/11/2017 23:58:34;26/11/2017 23:58:04;26/11/2017 23:58:04;Ligada;Desativado;85.0;514;Valido;89%;Nao;Posição;;Rodovia armando salles de oliveira - olimpia - sp;;-20.647867;-48.915707
ESU3147;3073661;RSTVT;26/11/2017 23:58:33;26/11/2017 23:57:04;26/11/2017 23:57:03;Ligada;Desativado;54.0;513;Valido;89%;Nao;Posição;;Rod sp-322 - 0 a 0 - olimpia - SP;;-20.657038;-48.914886
ESU3147;3073661;RSTVT;26/11/2017 23:58:31;26/11/2017 23:56:03;26/11/2017 23:56:03;Ligada;Desativado;91.0;478;Valido;89%;Sim;Posição;;Rod sp-322 - 0 a 0 - olimpia - SP;;-20.667233;-48.914055
ESU3147;3073661;RSTVT;26/11/2017 23:58:30;26/11/2017 23:55:02;26/11/2017 23:55:03;Ligada;Desativado;69.0;487;Valido;89%;Sim;Posição;;Rodovia armando salles de oliveira - olimpia - sp;;-20.677395;-48.911591
ESU3147;3073661;RSTVT;26/11/2017 23:54:28;26/11/2017 23:54:02;26/11/2017 23:54:03;Ligada;Desativado;33.0;506;Valido;89%;Sim;Posição;;Rod sp-322 - 0 a 0 - olimpia - SP;;-20.684917;-48.904449
ESU3147;3073661;RSTVT;26/11/2017 23:53:36;26/11/2017 23:53:02;26/11/2017 23:53:02;Ligada;Desativado;24.0;508;Valido;89%;Nao;Posição;;Rod sp-425 - 0 a 0 - olimpia - SP;;-20.685148;-48.905392
ESU3147;3073661;RSTVT;26/11/2017 23:53:35;26/11/2017 23:52:02;26/11/2017 23:52:02;Ligada;Desativado;30.0;491;Valido;89%;Sim;Posição;;Rod sp-425 - 0 a 0 - olimpia - SP;;-20.687597;-48.910583
ESU3147;3073661;RSTVT;26/11/2017 23:53:31;26/11/2017 23:51:02;26/11/2017 23:51:02;Ligada;Desativado;25.0;472;Valido;89%;Sim;Posição;;Ac p/ rod sp-425 - 0 a 0 - olimpia - SP;;-20.690702;-48.917126
ESU3147;3073661;RSTVT;26/11/2017 23:50:06;26/11/2017 23:50:02;26/11/2017 23:50:01;Ligada;Desativado;74.0;509;Valido;89%;Sim;Posição;;Rodovia wilquem manoel neves - olimpia - sp;;-20.698015;-48.914875
ESU3147;3073661;RSTVT;26/11/2017 23:49:03;26/11/2017 23:49:01;26/11/2017 23:49:01;Ligada;Desativado;76.0;517;Valido;89%;Sim;Posição;;Rodovia wilquem manoel neves - olimpia - sp;;-20.708097;-48.910912
ESU3147;3073661;RSTVT;26/11/2017 23:48:03;26/11/2017 23:48:01;26/11/2017 23:48:01;Ligada;Desativado;49.0;533;Valido;89%;Sim;Posição;;Rodovia wilquem manoel neves - olimpia - sp;;-20.717283;-48.907318
ESU3147;3073661;RSTVT;26/11/2017 23:47:02;26/11/2017 23:47:01;26/11/2017 23:47:01;Ligada;Desativado;39.0;530;Valido;89%;Sim;Posição;;V ac ademar p barros - 0 a 0 - olimpia - SP;;-20.723509;-48.9058
ESU3147;3073661;RSTVT;26/11/2017 23:46:02;26/11/2017 23:46:01;26/11/2017 23:46:00;Ligada;Desativado;40.0;528;Valido;89%;Sim;Posição;;V ac ademar p barros - 0 a 0 - 15400000 - olimpia - SP;;-20.728474;-48.90517
ESU3147;3073661;RSTVT;26/11/2017 23:45:02;26/11/2017 23:45:00;26/11/2017 23:45:00;Ligada;Desativado;10.0;526;Valido;89%;Sim;Posição;;Av rui barbosa - 10 a 83 - 15400000 - olimpia - SP;;-20.732672;-48.904613
ESU3147;3073661;RSTVT;26/11/2017 23:44:02;26/11/2017 23:44:00;26/11/2017 23:44:00;Ligada;Desativado;21.0;523;Valido;91%;Sim;Posição;;R david de oliveira - 0 a 0 - 15400000 - olimpia - SP;;-20.736416;-48.903988
ESU3147;3073661;RSTVT;26/11/2017 23:43:01;26/11/2017 23:43:00;26/11/2017 23:43:00;Ligada;Desativado;9.0;500;Valido;89%;Sim;Posição;;Av mario vieira marcondes - 0 a 0 - 15400000 - olimpia - SP;;-20.73901;-48.90337
ESU3147;3073661;RSTVT;26/11/2017 23:42:01;26/11/2017 23:41:59;26/11/2017 23:41:59;Ligada;Desativado;22.0;502;Valido;89%;Sim;Posição;;Av mario vieira marcondes - 0 a 0 - 15400000 - olimpia - SP;;-20.742512;-48.902565
ESU3147;3073661;RSTVT;26/11/2017 23:41:01;26/11/2017 23:40:59;26/11/2017 23:40:59;Ligada;Desativado;43.0;483;Valido;89%;Sim;Posição;;Av andrade e silva - 0 a 0 - 15400000 - olimpia - SP;;-20.744038;-48.904968
ESU3147;3073661;RSTVT;26/11/2017 23:40:00;26/11/2017 23:39:59;26/11/2017 23:39:59;Ligada;Desativado;18.0;510;Valido;89%;Sim;Posição;;Av andrade e silva - 0 a 0 - 15400000 - olimpia - SP;;-20.745129;-48.910568
ESU3147;3073661;RSTVT;26/11/2017 23:39:00;26/11/2017 23:38:59;26/11/2017 23:38:58;Ligada;Desativado;16.0;507;Valido;89%;Sim;Posição;;Av andrade e silva - 0 a 0 - 15400000 - olimpia - SP;;-20.745489;-48.912422
ESU3147;3073661;RSTVT;26/11/2017 23:38:00;26/11/2017 23:37:58;26/11/2017 23:37:58;Ligada;Desativado;22.0;518;Valido;89%;Sim;Posição;;R cnso. antonio prado - 1264 a 1303 - 15400000 - olimpia - SP;;-20.746622;-48.914413
ESU3147;3073661;RSTVT;26/11/2017 23:37:01;26/11/2017 23:36:58;26/11/2017 23:36:58;Ligada;Desativado;38.0;530;Valido;89%;Sim;Posição;;Avenida hanry gianicchine - olimpia - sp;;-20.749262;-48.913677
ESU3147;3073661;RSTVT;26/11/2017 23:35:59;26/11/2017 23:35:57;26/11/2017 23:35:58;Ligada;Desativado;36.0;541;Valido;89%;Sim;Posição;;R domingos sgorlon - 261 a 364 - 15400000 - olimpia - SP;;-20.753706;-48.911987
ESU3147;3073661;RSTVT;26/11/2017 23:34:59;26/11/2017 23:34:57;26/11/2017 23:34:57;Ligada;Desativado;63.0;539;Valido;89%;Sim;Posição;;Rodovia natal breda - olimpia - sp;;-20.758894;-48.915905
ESU3147;3073661;RSTVT;26/11/2017 23:33:59;26/11/2017 23:33:57;26/11/2017 23:33:57;Ligada;Desativado;59.0;530;Valido;89%;Sim;Posição;;Rod vicinal natal breda - 0 a 0 - olimpia - SP;;-20.766224;-48.923031
ESU3147;3073661;RSTVT;26/11/2017 23:32:59;26/11/2017 23:32:57;26/11/2017 23:32:56;Ligada;Desativado;75.0;538;Valido;89%;Sim;Posição;;Rod vicinal natal breda - 0 a 0 - olimpia - SP;;-20.77125;-48.927921
ESU3147;3073661;RSTVT;26/11/2017 23:31:58;26/11/2017 23:31:56;26/11/2017 23:31:56;Ligada;Desativado;66.0;570;Valido;89%;Sim;Posição;;Rodovia natal breda - tabapua - sp;;-20.779209;-48.935329
ESU3147;3073661;RSTVT;26/11/2017 23:30:56;26/11/2017 23:30:54;26/11/2017 23:30:54;Ligada;Desativado;61.0;578;Valido;91%;Sim;Posição;;Rod vicinal natal breda - 0 a 0 - olimpia - SP;;-20.786064;-48.943565
ESU3147;3073661;RSTVT;26/11/2017 23:31:23;26/11/2017 23:30:46;26/11/2017 23:30:46;Ligada;Desativado;58.0;578;Valido;91%;Nao;Operadora Celular: VIVO;;Rod vicinal natal breda - 0 a 0 - olimpia - SP;;-20.786488;-48.944752
ESU3147;3073661;RSTVT;26/11/2017 23:31:20;26/11/2017 23:29:52;26/11/2017 23:29:52;Ligada;Desativado;73.0;582;Valido;90%;Nao;Posição;;Rod vicinal natal breda - 0 a 0 - olimpia - SP;;-20.794718;-48.950653
ESU3147;3073661;RSTVT;26/11/2017 23:31:16;26/11/2017 23:28:52;26/11/2017 23:28:52;Ligada;Desativado;25.0;591;Valido;89%;Nao;Posição;;Rod vicinal natal breda - 0 a 0 - olimpia - SP;;-20.801437;-48.954758
ESU3147;3073661;RSTVT;26/11/2017 23:31:14;26/11/2017 23:27:52;26/11/2017 23:27:52;Ligada;Desativado;35.0;564;Valido;89%;Nao;Posição;;Rodovia natal breda - tabapua - sp;;-20.805243;-48.955654
ESU3147;3073661;RSTVT;26/11/2017 23:31:13;26/11/2017 23:26:52;26/11/2017 23:26:51;Ligada;Desativado;87.0;524;Valido;89%;Nao;Posição;;Rodovia natal breda - tabapua - sp;;-20.813599;-48.95813
ESU3147;3073661;RSTVT;26/11/2017 23:31:11;26/11/2017 23:25:50;26/11/2017 23:25:49;Ligada;Desativado;71.0;531;Valido;89%;Nao;Posição;;Rodovia natal breda - tabapua - sp;;-20.824986;-48.956558
ESU3147;3073661;RSTVT;26/11/2017 23:31:08;26/11/2017 23:24:49;26/11/2017 23:24:49;Ligada;Desativado;61.0;533;Valido;89%;Nao;Posição;;Rodovia natal breda - tabapua - sp;;-20.834312;-48.958801
ESU3147;3073661;RSTVT;26/11/2017 23:31:07;26/11/2017 23:23:49;26/11/2017 23:23:49;Ligada;Desativado;54.0;523;Valido;89%;Nao;Posição;;Rodovia natal breda - tabapua - sp;;-20.842228;-48.963223
ESU3147;3073661;RSTVT;26/11/2017 23:31:05;26/11/2017 23:22:49;26/11/2017 23:22:49;Ligada;Desativado;50.0;508;Valido;89%;Nao;Posição;;Rodovia natal breda - tabapua - sp;;-20.849211;-48.967476
ESU3147;3073661;RSTVT;26/11/2017 23:31:02;26/11/2017 23:21:48;26/11/2017 23:21:48;Ligada;Desativado;82.0;472;Valido;89%;Nao;Posição;;Rodovia natal breda - olimpia - sp;;-20.855795;-48.973061
ESU3147;3073661;RSTVT;26/11/2017 23:31:00;26/11/2017 23:20:47;26/11/2017 23:20:48;Ligada;Desativado;76.0;506;Valido;91%;Nao;Posição;;Rodovia natal breda - tabapua - sp;;-20.866789;-48.978531
ESU3147;3073661;RSTVT;26/11/2017 23:20:07;26/11/2017 23:20:05;26/11/2017 23:20:05;Ligada;Desativado;63.0;524;Valido;90%;Sim;Operadora Celular;;Rodovia natal breda - tabapua - sp;;-20.873678;-48.981632
