Placa: ESU3177
Dispositivo: 3077158 Fabricante: RSTVT
Proprietario: EXPRESSO RODOVIARIO TRANSCARMEN LTDA
Marca: SCANIA VABIS
Modelo: 
Cor: BRANCO
Distancia Total: 331 Km
Velocidade Maxima: 127.0
Velocidade Media: 74.58
Tempo Total Ligado: 8h 25m
Motor Ocioso: 2h 51m
Periodo: 26/11/2017 a 28/11/2017 - Data de Emissao: 29/11/2017

Placa;Dispositivo;Fabricante;Data Comunicacao;Data Posicao;Data Evento;Igni;Bloq;Vel;Alt;Val;Bat;On;Eventos;Sensores;Endereco;Motorista;Latitude;Longitude
ESU3177;3077158;RSTVT;26/11/2017 23:51:25;26/11/2017 23:50:19;26/11/2017 23:50:19;Desligada;Desativado;0.0;729;Valido;89%;Sim;Posição em Sleep;;Rod. Transbrasiliana - Trevao - Monte Alegre De Minas - Mg - 38420-000 - Brazil;;-18.867018;-49.06741
ESU3177;3077158;RSTVT;26/11/2017 22:49:01;26/11/2017 22:49:00;26/11/2017 22:49:00;Desligada;Desativado;0.0;719;Valido;89%;Sim;Modo Sleep;;Rod. Transbrasiliana - Trevao - Monte Alegre De Minas - Mg - 38420-000 - Brazil;;-18.867031;-49.067406
ESU3177;3077158;RSTVT;26/11/2017 22:48:52;26/11/2017 22:48:50;26/11/2017 22:48:50;Desligada;Desativado;0.0;719;Valido;89%;Sim;Posição;;Rod. Transbrasiliana - Trevao - Monte Alegre De Minas - Mg - 38420-000 - Brazil;;-18.867035;-49.06741
ESU3177;3077158;RSTVT;26/11/2017 22:47:52;26/11/2017 22:47:50;26/11/2017 22:47:50;Desligada;Desativado;0.0;717;Valido;89%;Sim;Posição;;Rod. Transbrasiliana - Trevao - Monte Alegre De Minas - Mg - 38420-000 - Brazil;;-18.867027;-49.06741
ESU3177;3077158;RSTVT;26/11/2017 22:46:52;26/11/2017 22:46:50;26/11/2017 22:46:50;Desligada;Desativado;0.0;719;Valido;89%;Sim;Posição;;Rod. Transbrasiliana - Trevao - Monte Alegre De Minas - Mg - 38420-000 - Brazil;;-18.867018;-49.067413
ESU3177;3077158;RSTVT;26/11/2017 22:45:51;26/11/2017 22:45:50;26/11/2017 22:45:50;Desligada;Desativado;0.0;719;Valido;89%;Sim;Posição;;Rod. Transbrasiliana - Trevao - Monte Alegre De Minas - Mg - 38420-000 - Brazil;;-18.86702;-49.067413
ESU3177;3077158;RSTVT;26/11/2017 22:44:52;26/11/2017 22:44:50;26/11/2017 22:44:50;Desligada;Desativado;0.0;715;Valido;89%;Sim;Posição;;Rod. Transbrasiliana - Trevao - Monte Alegre De Minas - Mg - 38420-000 - Brazil;;-18.86702;-49.067448
ESU3177;3077158;RSTVT;26/11/2017 22:43:51;26/11/2017 22:43:49;26/11/2017 22:43:49;Desligada;Desativado;0.0;717;Valido;89%;Sim;Posição;;Rod. Transbrasiliana - Trevao - Monte Alegre De Minas - Mg - 38420-000 - Brazil;;-18.86702;-49.067413
ESU3177;3077158;RSTVT;26/11/2017 22:42:51;26/11/2017 22:42:49;26/11/2017 22:42:49;Desligada;Desativado;0.0;717;Valido;89%;Sim;Posição;;Rod. Transbrasiliana - Trevao - Monte Alegre De Minas - Mg - 38420-000 - Brazil;;-18.867018;-49.067402
ESU3177;3077158;RSTVT;26/11/2017 22:41:51;26/11/2017 22:41:49;26/11/2017 22:41:49;Desligada;Desativado;0.0;722;Valido;89%;Sim;Posição;;Rod. Transbrasiliana - Trevao - Monte Alegre De Minas - Mg - 38420-000 - Brazil;;-18.867027;-49.067413
ESU3177;3077158;RSTVT;26/11/2017 22:40:51;26/11/2017 22:40:49;26/11/2017 22:40:49;Desligada;Desativado;0.0;726;Valido;89%;Sim;Posição;;Rod. Transbrasiliana - Trevao - Monte Alegre De Minas - Mg - 38420-000 - Brazil;;-18.867025;-49.067406
