Placa: FDC4117
Dispositivo: 3060172 Fabricante: RSTVT
Proprietario: EXPRESSO RODOVIARIO TRANSCARMEN LTDA
Marca: 
Modelo: 
Cor: BRANCO
Distancia Total: 969 Km
Velocidade Maxima: 141.0
Velocidade Media: 83.34
Tempo Total Ligado: 14h 35m
Motor Ocioso: 1h 34m
Periodo: 26/11/2017 a 28/11/2017 - Data de Emissao: 29/11/2017

Placa;Dispositivo;Fabricante;Data Comunicacao;Data Posicao;Data Evento;Igni;Bloq;Vel;Alt;Val;Bat;On;Eventos;Sensores;Endereco;Motorista;Latitude;Longitude
FDC4117;3060172;RSTVT;27/11/2017 00:37:31;26/11/2017 23:09:06;26/11/2017 23:09:07;Desligada;Desativado;0.0;588;Valido;88%;Nao;Posição em Sleep;;Rod sp-345 - 0 a 0 - ipua - SP;;-20.492134;-47.995068
FDC4117;3060172;RSTVT;27/11/2017 00:37:27;26/11/2017 22:07:53;26/11/2017 22:07:53;Desligada;Desativado;0.0;588;Valido;88%;Nao;Modo Sleep;;Rod sp-345 - 0 a 0 - ipua - SP;;-20.492178;-47.99506
FDC4117;3060172;RSTVT;27/11/2017 00:37:26;26/11/2017 22:07:34;26/11/2017 22:07:34;Desligada;Desativado;0.0;587;Valido;88%;Nao;Posição;;Rod sp-345 - 0 a 0 - ipua - SP;;-20.492184;-47.99506
FDC4117;3060172;RSTVT;27/11/2017 00:37:24;26/11/2017 22:06:34;26/11/2017 22:06:34;Desligada;Desativado;0.0;585;Valido;88%;Nao;Posição;;Rod sp-345 - 0 a 0 - ipua - SP;;-20.492174;-47.995052
FDC4117;3060172;RSTVT;27/11/2017 00:37:22;26/11/2017 22:05:33;26/11/2017 22:05:33;Desligada;Desativado;0.0;582;Valido;88%;Nao;Posição;;Rod sp-345 - 0 a 0 - ipua - SP;;-20.492155;-47.995049
FDC4117;3060172;RSTVT;27/11/2017 00:37:21;26/11/2017 22:04:33;26/11/2017 22:04:33;Desligada;Desativado;0.0;583;Valido;88%;Nao;Posição;;Rod sp-345 - 0 a 0 - ipua - SP;;-20.492161;-47.995033
FDC4117;3060172;RSTVT;27/11/2017 00:37:20;26/11/2017 22:03:30;26/11/2017 22:03:31;Desligada;Desativado;0.0;587;Valido;88%;Nao;Posição;;Rod sp-345 - 0 a 0 - ipua - SP;;-20.49218;-47.995045
FDC4117;3060172;RSTVT;27/11/2017 00:37:18;26/11/2017 22:02:30;26/11/2017 22:02:30;Desligada;Desativado;0.0;585;Valido;88%;Nao;Posição;;Rod sp-345 - 0 a 0 - ipua - SP;;-20.492161;-47.995049
FDC4117;3060172;RSTVT;27/11/2017 00:37:17;26/11/2017 22:01:30;26/11/2017 22:01:30;Desligada;Desativado;0.0;584;Valido;88%;Nao;Posição;;Rod sp-345 - 0 a 0 - ipua - SP;;-20.492161;-47.995045
FDC4117;3060172;RSTVT;27/11/2017 00:37:16;26/11/2017 22:00:30;26/11/2017 22:00:30;Desligada;Desativado;0.0;583;Valido;88%;Nao;Posição;;Rod sp-345 - 0 a 0 - ipua - SP;;-20.492176;-47.995022
FDC4117;3060172;RSTVT;27/11/2017 00:37:15;26/11/2017 21:59:30;26/11/2017 21:59:29;Desligada;Desativado;0.0;584;Valido;88%;Nao;Posição;;Rod sp-345 - 0 a 0 - ipua - SP;;-20.492182;-47.995022
