Placa: FDC4184
Dispositivo: 3073655 Fabricante: RSTVT
Proprietario: EXPRESSO RODOVIARIO TRANSCARMEN LTDA
Marca: VOLVO
Modelo: 
Cor: VERMELHO
Distancia Total: 540 Km
Velocidade Maxima: 132.0
Velocidade Media: 79.87
Tempo Total Ligado: 7h 45m
Motor Ocioso: 10m
Periodo: 26/11/2017 a 28/11/2017 - Data de Emissao: 29/11/2017

Placa;Dispositivo;Fabricante;Data Comunicacao;Data Posicao;Data Evento;Igni;Bloq;Vel;Alt;Val;Bat;On;Eventos;Sensores;Endereco;Motorista;Latitude;Longitude
FDC4184;3073655;RSTVT;26/11/2017 23:43:06;26/11/2017 23:42:20;26/11/2017 23:42:18;Desligada;Desativado;0.0;430;Valido;88%;Sim;Posição em Sleep;;Mt-010;;-13.528136;-52.287472
FDC4184;3073655;RSTVT;26/11/2017 22:43:26;26/11/2017 22:42:51;26/11/2017 22:42:49;Desligada;Desativado;0.0;434;Valido;88%;Sim;Posição em Sleep;;Mt-010;;-13.528071;-52.287483
FDC4184;3073655;RSTVT;26/11/2017 21:42:53;26/11/2017 21:42:19;26/11/2017 21:42:17;Desligada;Desativado;0.0;424;Valido;88%;Sim;Posição em Sleep;;Mt-010;;-13.528123;-52.287449
FDC4184;3073655;RSTVT;26/11/2017 20:42:59;26/11/2017 20:42:18;26/11/2017 20:42:16;Desligada;Desativado;0.0;428;Valido;89%;Sim;Posição em Sleep;;Mt-010;;-13.528097;-52.28743
FDC4184;3073655;RSTVT;26/11/2017 19:42:51;26/11/2017 19:42:18;26/11/2017 19:42:16;Desligada;Desativado;0.0;452;Valido;89%;Sim;Posição em Sleep;;Mt-010;;-13.528172;-52.287575
FDC4184;3073655;RSTVT;26/11/2017 18:42:56;26/11/2017 18:42:19;26/11/2017 18:42:17;Desligada;Desativado;0.0;431;Valido;89%;Sim;Posição em Sleep;;Mt-010;;-13.528125;-52.287548
FDC4184;3073655;RSTVT;26/11/2017 17:42:59;26/11/2017 17:42:19;26/11/2017 17:42:17;Desligada;Desativado;0.0;420;Valido;89%;Sim;Posição em Sleep;;Mt-010;;-13.528129;-52.287483
FDC4184;3073655;RSTVT;26/11/2017 16:43:57;26/11/2017 16:42:20;26/11/2017 16:42:19;Desligada;Desativado;0.0;1103;Valido;89%;Sim;Posição em Sleep;;Mt-010;;-13.528495;-52.290394
FDC4184;3073655;RSTVT;26/11/2017 15:42:52;26/11/2017 15:42:18;26/11/2017 15:42:17;Desligada;Desativado;0.0;445;Valido;89%;Sim;Posição em Sleep;;Mt-010;;-13.52814;-52.287506
FDC4184;3073655;RSTVT;26/11/2017 14:43:03;26/11/2017 14:42:18;26/11/2017 14:42:17;Desligada;Desativado;0.0;423;Valido;90%;Sim;Posição em Sleep;;Mt-010;;-13.528162;-52.287495
FDC4184;3073655;RSTVT;26/11/2017 13:41:04;26/11/2017 13:41:00;26/11/2017 13:40:59;Desligada;Desativado;0.0;424;Valido;90%;Sim;Modo Sleep;;Mt-010;;-13.528175;-52.287498
FDC4184;3073655;RSTVT;26/11/2017 13:40:25;26/11/2017 13:40:22;26/11/2017 13:40:20;Desligada;Desativado;0.0;425;Valido;90%;Sim;Posição;;Mt-010;;-13.528182;-52.287518
FDC4184;3073655;RSTVT;26/11/2017 13:39:42;26/11/2017 13:39:21;26/11/2017 13:39:20;Desligada;Desativado;0.0;422;Valido;90%;Sim;Posição;;Mt-010;;-13.528187;-52.287514
FDC4184;3073655;RSTVT;26/11/2017 13:38:24;26/11/2017 13:38:21;26/11/2017 13:38:19;Desligada;Desativado;0.0;422;Valido;90%;Sim;Posição;;Mt-010;;-13.52818;-52.287491
FDC4184;3073655;RSTVT;26/11/2017 13:37:48;26/11/2017 13:37:21;26/11/2017 13:37:19;Desligada;Desativado;0.0;427;Valido;90%;Sim;Posição;;Mt-010;;-13.528167;-52.287464
FDC4184;3073655;RSTVT;26/11/2017 13:37:48;26/11/2017 13:36:21;26/11/2017 13:36:19;Desligada;Desativado;0.0;428;Valido;90%;Sim;Posição;;Mt-010;;-13.528162;-52.287479
FDC4184;3073655;RSTVT;26/11/2017 13:36:57;26/11/2017 13:35:21;26/11/2017 13:35:19;Desligada;Desativado;0.0;424;Valido;90%;Sim;Posição;;Mt-010;;-13.528156;-52.287498
FDC4184;3073655;RSTVT;26/11/2017 13:34:45;26/11/2017 13:34:20;26/11/2017 13:34:19;Desligada;Desativado;0.0;426;Valido;90%;Sim;Posição;;Mt-010;;-13.52816;-52.287525
FDC4184;3073655;RSTVT;26/11/2017 13:33:23;26/11/2017 13:33:20;26/11/2017 13:33:18;Desligada;Desativado;0.0;434;Valido;90%;Sim;Posição;;Mt-010;;-13.528158;-52.287506
FDC4184;3073655;RSTVT;26/11/2017 13:32:22;26/11/2017 13:32:20;26/11/2017 13:32:18;Desligada;Desativado;0.0;429;Valido;90%;Sim;Posição;;Mt-010;;-13.528172;-52.287502
FDC4184;3073655;RSTVT;26/11/2017 13:31:31;26/11/2017 13:31:20;26/11/2017 13:31:18;Desligada;Desativado;0.0;438;Valido;90%;Nao;Posição;;Mt-010;;-13.52817;-52.287521
FDC4184;3073655;RSTVT;26/11/2017 13:31:22;26/11/2017 13:31:06;26/11/2017 13:31:04;Desligada;Desativado;0.0;436;Valido;90%;Sim;Ignição Off;;Mt-010;;-13.528176;-52.287506
FDC4184;3073655;RSTVT;27/11/2017 09:06:42;26/11/2017 13:31:01;26/11/2017 13:30:59;Desligada;Desativado;0.0;0;Valido;;Nao;Estacionamento;;Mt-010;;-13.528173;-52.287506
FDC4184;3073655;RSTVT;26/11/2017 13:30:25;26/11/2017 13:30:20;26/11/2017 13:30:18;Ligada;Desativado;15.0;435;Valido;90%;Sim;Posição;;Mt-010;;-13.528767;-52.286968
