Placa: FDC4221
Dispositivo: 3054295 Fabricante: RSTVT
Proprietario: EXPRESSO RODOVIARIO TRANSCARMEN LTDA
Marca: SCANIA VABIS
Modelo: 
Cor: VERMELHO
Distancia Total: 492 Km
Velocidade Maxima: 116.0
Velocidade Media: 68.74
Tempo Total Ligado: 10h 2m
Motor Ocioso: 1h 45m
Periodo: 26/11/2017 a 28/11/2017 - Data de Emissao: 29/11/2017

Placa;Dispositivo;Fabricante;Data Comunicacao;Data Posicao;Data Evento;Igni;Bloq;Vel;Alt;Val;Bat;On;Eventos;Sensores;Endereco;Motorista;Latitude;Longitude
FDC4221;3054295;RSTVT;26/11/2017 23:01:09;26/11/2017 23:00:31;26/11/2017 23:00:32;Desligada;Desativado;0.0;624;Valido;86%;Sim;Posição em Sleep;;Estr. santa gertrudes iracema - 1152-1292 - distrito industrial ii - santa gertrudes - sp - 13510-000 - brazil;;-22.468519;-47.539078
FDC4221;3054295;RSTVT;26/11/2017 22:01:29;26/11/2017 22:00:53;26/11/2017 22:00:54;Desligada;Desativado;0.0;694;Valido;86%;Sim;Posição em Sleep;;Unnamed road - distrito industrial i - santa gertrudes - sp - 13510-000 - brazil;;-22.468237;-47.538864
FDC4221;3054295;RSTVT;26/11/2017 21:01:06;26/11/2017 21:00:30;26/11/2017 21:00:31;Desligada;Desativado;0.0;614;Valido;86%;Sim;Posição em Sleep;;Unnamed Road - Distrito Industrial I - Santa Gertrudes - Sp - 13510-000 - Brazil;;-22.468525;-47.539062
FDC4221;3054295;RSTVT;26/11/2017 20:01:16;26/11/2017 20:00:35;26/11/2017 20:00:36;Desligada;Desativado;0.0;614;Valido;86%;Sim;Posição em Sleep;;Unnamed Road - Distrito Industrial I - Santa Gertrudes - Sp - 13510-000 - Brazil;;-22.46846;-47.539124
FDC4221;3054295;RSTVT;26/11/2017 18:59:16;26/11/2017 18:59:14;26/11/2017 18:59:15;Desligada;Desativado;0.0;625;Valido;86%;Sim;Modo Sleep;;Unnamed Road - Distrito Industrial I - Santa Gertrudes - Sp - 13510-000 - Brazil;;-22.468513;-47.539082
FDC4221;3054295;RSTVT;26/11/2017 18:58:40;26/11/2017 18:58:39;26/11/2017 18:58:39;Desligada;Desativado;0.0;623;Valido;86%;Sim;Posição;;Unnamed Road - Distrito Industrial I - Santa Gertrudes - Sp - 13510-000 - Brazil;;-22.468519;-47.539093
FDC4221;3054295;RSTVT;26/11/2017 18:57:40;26/11/2017 18:57:38;26/11/2017 18:57:39;Desligada;Desativado;0.0;625;Valido;86%;Sim;Posição;;Unnamed Road - Distrito Industrial I - Santa Gertrudes - Sp - 13510-000 - Brazil;;-22.468515;-47.539066
FDC4221;3054295;RSTVT;26/11/2017 18:56:40;26/11/2017 18:56:38;26/11/2017 18:56:38;Desligada;Desativado;0.0;627;Valido;86%;Sim;Posição;;Unnamed Road - Distrito Industrial I - Santa Gertrudes - Sp - 13510-000 - Brazil;;-22.468493;-47.539062
FDC4221;3054295;RSTVT;26/11/2017 18:55:40;26/11/2017 18:55:38;26/11/2017 18:55:38;Desligada;Desativado;0.0;625;Valido;86%;Sim;Posição;;Unnamed Road - Distrito Industrial I - Santa Gertrudes - Sp - 13510-000 - Brazil;;-22.468479;-47.53907
FDC4221;3054295;RSTVT;26/11/2017 18:54:39;26/11/2017 18:54:38;26/11/2017 18:54:38;Desligada;Desativado;0.0;620;Valido;86%;Sim;Posição;;Unnamed Road - Distrito Industrial I - Santa Gertrudes - Sp - 13510-000 - Brazil;;-22.468485;-47.539112
