Placa: FDC4222
Dispositivo: 3065364 Fabricante: RSTVT
Proprietario: EXPRESSO RODOVIARIO TRANSCARMEN LTDA
Marca: 
Modelo: 
Cor: VERMELHO
Distancia Total: 138.0 m
Velocidade Maxima: 0.0
Velocidade Media: 0.0
Tempo Total Ligado: 3m
Motor Ocioso: 0m
Periodo: 26/11/2017 a 28/11/2017 - Data de Emissao: 29/11/2017

Placa;Dispositivo;Fabricante;Data Comunicacao;Data Posicao;Data Evento;Igni;Bloq;Vel;Alt;Val;Bat;On;Eventos;Sensores;Endereco;Motorista;Latitude;Longitude
FDC4222;3065364;RSTVT;26/11/2017 23:07:09;26/11/2017 23:06:24;26/11/2017 23:06:26;Desligada;Desativado;0.0;524;Valido;89%;Sim;Posição em Sleep;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968639;-49.033649
FDC4222;3065364;RSTVT;26/11/2017 22:10:12;26/11/2017 22:09:29;26/11/2017 22:09:30;Desligada;Desativado;0.0;467;Valido;89%;Sim;Posição em Sleep;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.96841;-49.033596
FDC4222;3065364;RSTVT;26/11/2017 21:07:31;26/11/2017 21:06:48;26/11/2017 21:06:49;Desligada;Desativado;0.0;517;Valido;89%;Sim;Posição em Sleep;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968418;-49.033672
FDC4222;3065364;RSTVT;26/11/2017 20:07:49;26/11/2017 20:07:04;26/11/2017 20:07:06;Desligada;Desativado;0.0;558;Valido;89%;Sim;Posição em Sleep;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968555;-49.033615
FDC4222;3065364;RSTVT;26/11/2017 19:07:13;26/11/2017 19:06:28;26/11/2017 19:06:30;Desligada;Desativado;0.0;534;Valido;89%;Sim;Posição em Sleep;;Av afonso pena - 1135 a 958 - 15880000 - tabapua - SP;;-20.968477;-49.033634
FDC4222;3065364;RSTVT;26/11/2017 18:07:34;26/11/2017 18:06:50;26/11/2017 18:06:51;Desligada;Desativado;0.0;584;Valido;89%;Sim;Posição em Sleep;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968292;-49.033623
FDC4222;3065364;RSTVT;26/11/2017 17:07:19;26/11/2017 17:06:35;26/11/2017 17:06:36;Desligada;Desativado;0.0;578;Valido;89%;Sim;Posição em Sleep;;Av afonso pena - 1135 a 958 - 15880000 - tabapua - SP;;-20.968271;-49.033649
FDC4222;3065364;RSTVT;26/11/2017 16:07:24;26/11/2017 16:06:40;26/11/2017 16:06:41;Desligada;Desativado;0.0;590;Valido;89%;Sim;Posição em Sleep;;Av afonso pena - 1135 a 958 - 15880000 - tabapua - SP;;-20.968479;-49.03373
FDC4222;3065364;RSTVT;26/11/2017 15:07:48;26/11/2017 15:07:04;26/11/2017 15:07:05;Desligada;Desativado;0.0;580;Valido;89%;Sim;Posição em Sleep;;Av afonso pena - 1135 a 958 - 15880000 - tabapua - SP;;-20.968119;-49.033642
FDC4222;3065364;RSTVT;26/11/2017 14:08:01;26/11/2017 14:07:18;26/11/2017 14:07:18;Desligada;Desativado;0.0;576;Valido;89%;Sim;Posição em Sleep;;Av afonso pena - 1135 a 958 - 15880000 - tabapua - SP;;-20.967903;-49.033756
FDC4222;3065364;RSTVT;26/11/2017 13:07:18;26/11/2017 13:06:34;26/11/2017 13:06:36;Desligada;Desativado;0.0;502;Valido;89%;Sim;Posição em Sleep;;Av afonso pena - 1135 a 958 - 15880000 - tabapua - SP;;-20.968618;-49.033714
FDC4222;3065364;RSTVT;26/11/2017 12:07:29;26/11/2017 12:06:45;26/11/2017 12:06:47;Desligada;Desativado;0.0;547;Valido;89%;Sim;Posição em Sleep;;Av marginal - 185 a 2 - 15880000 - tabapua - SP;;-20.96837;-49.03352
FDC4222;3065364;RSTVT;26/11/2017 11:07:57;26/11/2017 11:07:13;26/11/2017 11:07:15;Desligada;Desativado;0.0;538;Valido;89%;Sim;Posição em Sleep;;Av afonso pena - 1135 a 958 - 15880000 - tabapua - SP;;-20.968435;-49.03371
FDC4222;3065364;RSTVT;26/11/2017 10:08:13;26/11/2017 10:07:29;26/11/2017 10:07:31;Desligada;Desativado;0.0;552;Valido;89%;Sim;Posição em Sleep;;Av marginal - 185 a 2 - 15880000 - tabapua - SP;;-20.96843;-49.033482
FDC4222;3065364;RSTVT;26/11/2017 09:07:38;26/11/2017 09:06:54;26/11/2017 09:06:56;Desligada;Desativado;0.0;576;Valido;89%;Sim;Posição em Sleep;;Av marginal - 185 a 2 - 15880000 - tabapua - SP;;-20.968262;-49.033367
FDC4222;3065364;RSTVT;26/11/2017 08:10:04;26/11/2017 08:09:20;26/11/2017 08:09:22;Desligada;Desativado;0.0;532;Valido;89%;Sim;Posição em Sleep;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968468;-49.033546
FDC4222;3065364;RSTVT;26/11/2017 07:05:07;26/11/2017 07:05:06;26/11/2017 07:05:07;Desligada;Desativado;0.0;534;Valido;89%;Sim;Modo Sleep;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968481;-49.03355
FDC4222;3065364;RSTVT;26/11/2017 07:04:24;26/11/2017 07:04:23;26/11/2017 07:04:24;Desligada;Desativado;0.0;529;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968485;-49.033562
FDC4222;3065364;RSTVT;26/11/2017 07:03:24;26/11/2017 07:03:22;26/11/2017 07:03:23;Desligada;Desativado;0.0;539;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968506;-49.033607
FDC4222;3065364;RSTVT;26/11/2017 07:02:24;26/11/2017 07:02:22;26/11/2017 07:02:23;Desligada;Desativado;0.0;555;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968367;-49.0336
FDC4222;3065364;RSTVT;26/11/2017 07:01:23;26/11/2017 07:01:21;26/11/2017 07:01:23;Desligada;Desativado;0.0;567;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968399;-49.033592
FDC4222;3065364;RSTVT;26/11/2017 07:00:23;26/11/2017 07:00:21;26/11/2017 07:00:23;Desligada;Desativado;0.0;572;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968304;-49.033604
FDC4222;3065364;RSTVT;26/11/2017 06:59:23;26/11/2017 06:59:21;26/11/2017 06:59:22;Desligada;Desativado;0.0;575;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968363;-49.033619
FDC4222;3065364;RSTVT;26/11/2017 06:58:23;26/11/2017 06:58:21;26/11/2017 06:58:22;Desligada;Desativado;0.0;574;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968426;-49.033596
FDC4222;3065364;RSTVT;26/11/2017 06:57:22;26/11/2017 06:57:21;26/11/2017 06:57:22;Desligada;Desativado;0.0;583;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968433;-49.033607
FDC4222;3065364;RSTVT;26/11/2017 06:56:22;26/11/2017 06:56:21;26/11/2017 06:56:21;Desligada;Desativado;0.0;569;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968426;-49.033627
FDC4222;3065364;RSTVT;26/11/2017 06:55:22;26/11/2017 06:55:20;26/11/2017 06:55:21;Desligada;Desativado;0.0;562;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968493;-49.033653
FDC4222;3065364;RSTVT;26/11/2017 06:55:15;26/11/2017 06:55:11;26/11/2017 06:55:12;Desligada;Desativado;0.0;560;Valido;89%;Sim;Ignição Off;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968481;-49.033661
FDC4222;3065364;RSTVT;28/11/2017 19:13:20;26/11/2017 06:55:06;26/11/2017 06:55:07;Desligada;Desativado;0.0;0;Valido;;Nao;Estacionamento;;Av afonso pena - 1135 a 958 - 15880000 - tabapua - SP;;-20.968464;-49.033649
FDC4222;3065364;RSTVT;26/11/2017 06:54:32;26/11/2017 06:54:30;26/11/2017 06:54:31;Ligada;Desativado;0.0;554;Valido;89%;Sim;Ignição On: V5.06;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968489;-49.033661
FDC4222;3065364;RSTVT;26/11/2017 06:54:07;26/11/2017 06:54:06;26/11/2017 06:54:07;Desligada;Desativado;0.0;555;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968477;-49.033657
FDC4222;3065364;RSTVT;26/11/2017 06:53:00;26/11/2017 06:52:59;26/11/2017 06:53:00;Desligada;Desativado;0.0;545;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968521;-49.033688
FDC4222;3065364;RSTVT;26/11/2017 06:52:00;26/11/2017 06:51:58;26/11/2017 06:51:59;Desligada;Desativado;0.0;538;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968504;-49.033684
FDC4222;3065364;RSTVT;26/11/2017 06:51:00;26/11/2017 06:50:58;26/11/2017 06:50:59;Desligada;Desativado;0.0;541;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968491;-49.033661
FDC4222;3065364;RSTVT;26/11/2017 06:50:35;26/11/2017 06:50:34;26/11/2017 06:50:35;Desligada;Desativado;0.0;545;Valido;89%;Sim;Ignição Off;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968443;-49.033649
FDC4222;3065364;RSTVT;26/11/2017 06:49:59;26/11/2017 06:49:56;26/11/2017 06:49:59;Ligada;Desativado;0.0;549;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968271;-49.033627
FDC4222;3065364;RSTVT;26/11/2017 06:49:00;26/11/2017 06:48:58;26/11/2017 06:48:58;Ligada;Desativado;0.0;549;Valido;89%;Sim;Posição;;Av Afonso Pena - 1135 A 958 - 15880000 - tabapua - SP;;-20.968519;-49.033634
