Placa: FKG2418
Dispositivo: 3062742 Fabricante: RSTVT
Proprietario: EXPRESSO RODOVIARIO TRANSCARMEN LTDA
Marca: 
Modelo: 
Cor: BRANCO
Distancia Total: 331 Km
Velocidade Maxima: 122.0
Velocidade Media: 75.3
Tempo Total Ligado: 6h 35m
Motor Ocioso: 1h 22m
Periodo: 26/11/2017 a 28/11/2017 - Data de Emissao: 29/11/2017

Placa;Dispositivo;Fabricante;Data Comunicacao;Data Posicao;Data Evento;Igni;Bloq;Vel;Alt;Val;Bat;On;Eventos;Sensores;Endereco;Motorista;Latitude;Longitude
FKG2418;3062742;RSTVT;28/11/2017 00:03:32;27/11/2017 23:00:57;27/11/2017 23:00:58;Desligada;Desativado;0.0;827;Valido;86%;Sim;Posição em Sleep;;Alame Das Primaveras - Jatai - Go;;-17.888817;-51.661003
FKG2418;3062742;RSTVT;28/11/2017 00:04:11;27/11/2017 21:59:46;27/11/2017 21:59:46;Desligada;Desativado;0.0;818;Valido;87%;Nao;Modo Sleep;;Alame Das Primaveras - Jatai - Go;;-17.888777;-51.660912
FKG2418;3062742;RSTVT;28/11/2017 00:04:09;27/11/2017 21:59:42;27/11/2017 21:59:42;Desligada;Desativado;0.0;817;Valido;87%;Nao;Posição;;Alame Das Primaveras - Jatai - Go;;-17.888779;-51.660912
FKG2418;3062742;RSTVT;28/11/2017 00:04:04;27/11/2017 21:58:42;27/11/2017 21:58:41;Desligada;Desativado;0.0;812;Valido;87%;Nao;Posição;;Alame Das Primaveras - Jatai - Go;;-17.888788;-51.660946
FKG2418;3062742;RSTVT;28/11/2017 00:04:00;27/11/2017 21:57:42;27/11/2017 21:57:41;Desligada;Desativado;0.0;814;Valido;87%;Nao;Posição;;Alame Das Primaveras - Jatai - Go;;-17.888786;-51.660934
FKG2418;3062742;RSTVT;28/11/2017 00:03:56;27/11/2017 21:56:41;27/11/2017 21:56:41;Desligada;Desativado;0.0;814;Valido;87%;Nao;Posição;;Alame Das Primaveras - Jatai - Go;;-17.888792;-51.660912
FKG2418;3062742;RSTVT;28/11/2017 00:03:48;27/11/2017 21:55:41;27/11/2017 21:55:41;Desligada;Desativado;0.0;813;Valido;87%;Nao;Posição;;Alame Das Primaveras - Jatai - Go;;-17.888762;-51.660915
FKG2418;3062742;RSTVT;28/11/2017 00:03:44;27/11/2017 21:54:41;27/11/2017 21:54:40;Desligada;Desativado;0.0;820;Valido;87%;Nao;Posição;;Alame Das Primaveras - Jatai - Go;;-17.888756;-51.660919
FKG2418;3062742;RSTVT;28/11/2017 00:03:41;27/11/2017 21:53:40;27/11/2017 21:53:40;Desligada;Desativado;0.0;824;Valido;87%;Nao;Posição;;Alame Das Primaveras - Jatai - Go;;-17.888767;-51.660896
FKG2418;3062742;RSTVT;28/11/2017 00:03:29;27/11/2017 21:52:40;27/11/2017 21:52:40;Desligada;Desativado;0.0;826;Valido;87%;Nao;Posição;;Alame Das Primaveras - Jatai - Go;;-17.888786;-51.660885
FKG2418;3062742;RSTVT;27/11/2017 22:01:04;27/11/2017 21:52:40;27/11/2017 21:52:40;Desligada;Desativado;0.0;826;Valido;87%;Nao;Posição;;Alame Das Primaveras - Jatai - Go;;-17.888786;-51.660885
FKG2418;3062742;RSTVT;27/11/2017 22:01:03;27/11/2017 21:51:40;27/11/2017 21:51:39;Desligada;Desativado;0.0;829;Valido;87%;Nao;Posição;;Alame Das Primaveras - Jatai - Go;;-17.888788;-51.660854
FKG2418;3062742;RSTVT;27/11/2017 22:00:55;27/11/2017 21:50:39;27/11/2017 21:50:39;Desligada;Desativado;0.0;832;Valido;87%;Nao;Posição;;Alame Das Primaveras - Jatai - Go;;-17.888802;-51.660847
FKG2418;3062742;RSTVT;27/11/2017 22:00:54;27/11/2017 21:49:52;27/11/2017 21:49:51;Desligada;Desativado;0.0;827;Valido;87%;Nao;Ignição Off;;Alame Das Primaveras - Jatai - Go;;-17.888815;-51.660877
FKG2418;3062742;RSTVT;28/11/2017 08:38:42;27/11/2017 21:49:47;27/11/2017 21:49:46;Desligada;Desativado;0.0;0;Valido;;Nao;Estacionamento;;Alame das primaveras - jatai - go;;-17.888809;-51.660885
FKG2418;3062742;RSTVT;27/11/2017 22:00:48;27/11/2017 21:49:38;27/11/2017 21:49:37;Ligada;Desativado;0.0;825;Valido;87%;Nao;Posição;;Alame Das Primaveras - Jatai - Go;;-17.888798;-51.660915
FKG2418;3062742;RSTVT;27/11/2017 22:00:30;27/11/2017 21:49:38;27/11/2017 21:49:37;Ligada;Desativado;0.0;825;Valido;87%;Nao;Posição;;Alame das primaveras - jatai - go;;-17.888798;-51.660915
FKG2418;3062742;RSTVT;27/11/2017 22:00:06;27/11/2017 21:48:37;27/11/2017 21:48:37;Ligada;Desativado;5.0;818;Valido;87%;Nao;Posição;;Alame das primaveras - jatai - go;;-17.888483;-51.661404
FKG2418;3062742;RSTVT;27/11/2017 22:00:05;27/11/2017 21:47:37;27/11/2017 21:47:36;Ligada;Desativado;23.0;811;Valido;87%;Nao;Posição;;Alame das primaveras - jatai - go;;-17.889444;-51.659695
FKG2418;3062742;RSTVT;27/11/2017 22:00:02;27/11/2017 21:46:37;27/11/2017 21:46:36;Ligada;Desativado;60.0;806;Valido;87%;Nao;Posição;;Br-060 - rio verde - go;;-17.888323;-51.654606
FKG2418;3062742;RSTVT;27/11/2017 22:00:00;27/11/2017 21:45:37;27/11/2017 21:45:36;Ligada;Desativado;64.0;799;Valido;87%;Nao;Posição;;Br-060 - rio verde - go;;-17.881075;-51.647488
FKG2418;3062742;RSTVT;27/11/2017 21:59:57;27/11/2017 21:44:36;27/11/2017 21:44:36;Ligada;Desativado;78.0;760;Valido;87%;Sim;Posição;;Br-060 - rio verde - go;;-17.873581;-51.638557
FKG2418;3062742;RSTVT;27/11/2017 21:59:50;27/11/2017 21:43:36;27/11/2017 21:43:36;Ligada;Desativado;92.0;755;Valido;87%;Sim;Posição;;Br-060 - rio verde - go;;-17.874054;-51.625027
FKG2418;3062742;RSTVT;27/11/2017 21:43:26;27/11/2017 21:42:36;27/11/2017 21:42:35;Ligada;Desativado;86.0;825;Valido;87%;Nao;Posição;;Br-060 - rio verde - go;;-17.870762;-51.611038
FKG2418;3062742;RSTVT;27/11/2017 21:43:21;27/11/2017 21:41:36;27/11/2017 21:41:35;Ligada;Desativado;82.0;824;Valido;87%;Nao;Posição;;Br-060 - rio verde - go;;-17.869001;-51.598457
FKG2418;3062742;RSTVT;27/11/2017 21:43:19;27/11/2017 21:40:36;27/11/2017 21:40:35;Ligada;Desativado;89.0;805;Valido;87%;Sim;Posição;;Br-060 - rio verde - go;;-17.867109;-51.584702
FKG2418;3062742;RSTVT;27/11/2017 21:43:16;27/11/2017 21:39:35;27/11/2017 21:39:35;Ligada;Desativado;86.0;801;Valido;87%;Sim;Posição;;Br-060 - rio verde - go;;-17.865208;-51.570633
FKG2418;3062742;RSTVT;27/11/2017 21:38:49;27/11/2017 21:38:38;27/11/2017 21:38:38;Ligada;Desativado;100.0;754;Valido;87%;Nao;Excedeu Velocidade Máxima: 21 s;;Br-060 - rio verde - go;;-17.859936;-51.559395
FKG2418;3062742;RSTVT;27/11/2017 21:38:47;27/11/2017 21:38:35;27/11/2017 21:38:35;Ligada;Desativado;104.0;751;Valido;87%;Sim;Posição;;Br-060 - rio verde - go;;-17.859528;-51.558716
