Placa: FKO9542
Dispositivo: 3060279 Fabricante: RSTVT
Proprietario: EXPRESSO RODOVIARIO TRANSCARMEN LTDA
Marca: 
Modelo: 
Cor: INDEFINIDA
Distancia Total: 389 Km
Velocidade Maxima: 126.0
Velocidade Media: 70.27
Tempo Total Ligado: 6h 50m
Motor Ocioso: 31m
Periodo: 26/11/2017 a 28/11/2017 - Data de Emissao: 29/11/2017

Placa;Dispositivo;Fabricante;Data Comunicacao;Data Posicao;Data Evento;Igni;Bloq;Vel;Alt;Val;Bat;On;Eventos;Sensores;Endereco;Motorista;Latitude;Longitude
FKO9542;3060279;RSTVT;27/11/2017 06:03:09;26/11/2017 23:59:12;26/11/2017 23:59:12;Ligada;Desativado;47.0;863;Valido;82%;Sim;Posição;;Br-153 - morrinhos - go;;-17.912952;-49.239136
FKO9542;3060279;RSTVT;27/11/2017 06:03:07;26/11/2017 23:58:12;26/11/2017 23:58:12;Ligada;Desativado;80.0;838;Valido;82%;Sim;Posição;;Br-153 - Morrinhos - Go;;-17.922779;-49.241722
FKO9542;3060279;RSTVT;26/11/2017 23:59:13;26/11/2017 23:58:12;26/11/2017 23:58:12;Ligada;Desativado;80.0;838;Valido;82%;Sim;Posição;;Br-153 - morrinhos - go;;-17.922779;-49.241722
FKO9542;3060279;RSTVT;26/11/2017 23:57:13;26/11/2017 23:57:12;26/11/2017 23:57:12;Ligada;Desativado;76.0;844;Valido;82%;Sim;Posição;;Br-153 - morrinhos - go;;-17.933937;-49.244522
FKO9542;3060279;RSTVT;26/11/2017 23:56:13;26/11/2017 23:56:12;26/11/2017 23:56:11;Ligada;Desativado;75.0;841;Valido;82%;Sim;Posição;;Br-153 - morrinhos - go;;-17.944813;-49.247463
FKO9542;3060279;RSTVT;26/11/2017 23:55:12;26/11/2017 23:55:11;26/11/2017 23:55:11;Ligada;Desativado;80.0;842;Valido;82%;Sim;Posição;;Br-153 - goiatuba - go;;-17.956383;-49.250469
FKO9542;3060279;RSTVT;26/11/2017 23:54:12;26/11/2017 23:54:10;26/11/2017 23:54:11;Ligada;Desativado;73.0;845;Valido;82%;Sim;Posição;;Br-153 - goiatuba - go;;-17.968214;-49.253548
FKO9542;3060279;RSTVT;26/11/2017 23:53:12;26/11/2017 23:53:10;26/11/2017 23:53:10;Ligada;Desativado;60.0;835;Valido;82%;Sim;Posição;;Br-153 - goiatuba - go;;-17.97797;-49.256107
FKO9542;3060279;RSTVT;26/11/2017 23:52:14;26/11/2017 23:52:10;26/11/2017 23:52:10;Ligada;Desativado;47.0;820;Valido;82%;Sim;Posição;;Br-153 - goiatuba - go;;-17.985676;-49.258003
FKO9542;3060279;RSTVT;26/11/2017 23:51:12;26/11/2017 23:51:10;26/11/2017 23:51:10;Ligada;Desativado;45.0;800;Valido;82%;Sim;Posição;;Br-153 - goiatuba - go;;-17.992382;-49.259872
FKO9542;3060279;RSTVT;26/11/2017 23:50:11;26/11/2017 23:50:10;26/11/2017 23:50:10;Ligada;Desativado;95.0;755;Valido;82%;Sim;Posição;;Br-153 - goiatuba - go;;-18.002735;-49.262337
FKO9542;3060279;RSTVT;26/11/2017 23:50:08;26/11/2017 23:50:07;26/11/2017 23:50:07;Ligada;Desativado;100.0;750;Valido;82%;Sim;Excedeu Velocidade Máxima: 75 s;;Br-153 - goiatuba - go;;-18.003462;-49.262383
FKO9542;3060279;RSTVT;26/11/2017 23:49:11;26/11/2017 23:49:10;26/11/2017 23:49:10;Ligada;Desativado;124.0;768;Valido;82%;Sim;Posição;;Br-153 - goiatuba - go;;-18.021105;-49.263638
FKO9542;3060279;RSTVT;26/11/2017 23:48:55;26/11/2017 23:48:54;26/11/2017 23:48:54;Ligada;Desativado;105.0;791;Valido;82%;Sim;Alerta de Velocidade Maxima sem Chuva;;Br-153 - goiatuba - go;;-18.025696;-49.264397
FKO9542;3060279;RSTVT;26/11/2017 23:48:28;26/11/2017 23:48:27;26/11/2017 23:48:27;Ligada;Desativado;100.0;805;Valido;82%;Sim;Excedeu Velocidade Máxima: 15 s;;Br-153 - goiatuba - go;;-18.032114;-49.265472
FKO9542;3060279;RSTVT;26/11/2017 23:48:15;26/11/2017 23:48:14;26/11/2017 23:48:14;Ligada;Desativado;105.0;810;Valido;82%;Sim;Alerta de Velocidade Maxima sem Chuva;;Br-153 - goiatuba - go;;-18.035545;-49.266041
FKO9542;3060279;RSTVT;26/11/2017 23:48:11;26/11/2017 23:48:10;26/11/2017 23:48:09;Ligada;Desativado;98.0;817;Valido;82%;Sim;Posição;;Br-153 - goiatuba - go;;-18.036552;-49.266205
FKO9542;3060279;RSTVT;26/11/2017 23:47:11;26/11/2017 23:47:09;26/11/2017 23:47:09;Ligada;Desativado;61.0;846;Valido;82%;Sim;Posição;;Rod. transbrasiliana - 607 - goiatuba - go - 75600-000 - brazil;;-18.047955;-49.268108
FKO9542;3060279;RSTVT;26/11/2017 23:46:11;26/11/2017 23:46:09;26/11/2017 23:46:09;Ligada;Desativado;66.0;836;Valido;82%;Sim;Posição;;Rod. transbrasiliana - 607 - goiatuba - go - 75600-000 - brazil;;-18.058281;-49.269508
FKO9542;3060279;RSTVT;26/11/2017 23:45:10;26/11/2017 23:45:09;26/11/2017 23:45:09;Ligada;Desativado;31.0;828;Valido;82%;Sim;Posição;;Rod. transbrasiliana - 607 - goiatuba - go - 75600-000 - brazil;;-18.065912;-49.268307
FKO9542;3060279;RSTVT;26/11/2017 23:44:30;26/11/2017 23:44:09;26/11/2017 23:44:09;Ligada;Desativado;23.0;802;Valido;82%;Nao;Posição;;Rod. transbrasiliana - 607 - goiatuba - go - 75600-000 - brazil;;-18.069757;-49.268494
FKO9542;3060279;RSTVT;26/11/2017 23:44:28;26/11/2017 23:43:09;26/11/2017 23:43:08;Ligada;Desativado;23.0;779;Valido;82%;Sim;Posição;;Rod. transbrasiliana - 607 - goiatuba - go - 75600-000 - brazil;;-18.073257;-49.269852
FKO9542;3060279;RSTVT;26/11/2017 23:44:10;26/11/2017 23:42:09;26/11/2017 23:42:08;Ligada;Desativado;20.0;758;Valido;82%;Sim;Posição;;Rod. transbrasiliana - 607 - goiatuba - go - 75600-000 - brazil;;-18.076635;-49.270683
FKO9542;3060279;RSTVT;26/11/2017 23:41:10;26/11/2017 23:41:08;26/11/2017 23:41:08;Ligada;Desativado;51.0;730;Valido;82%;Sim;Posição;;Rod br-153 - 0 a 0 - goiatuba - GO;;-18.081436;-49.270527
FKO9542;3060279;RSTVT;26/11/2017 23:40:10;26/11/2017 23:40:08;26/11/2017 23:40:07;Ligada;Desativado;70.0;714;Valido;82%;Sim;Posição;;Rod. transbrasiliana - 607 - goiatuba - go - 75600-000 - brazil;;-18.091587;-49.271255
FKO9542;3060279;RSTVT;26/11/2017 23:40:17;26/11/2017 23:39:04;26/11/2017 23:39:04;Ligada;Desativado;42.0;702;Valido;82%;Nao;Posição;;Rod. transbrasiliana - 607 - goiatuba - go - 75600-000 - brazil;;-18.099503;-49.273865
FKO9542;3060279;RSTVT;26/11/2017 23:40:16;26/11/2017 23:38:04;26/11/2017 23:38:04;Ligada;Desativado;37.0;679;Valido;82%;Nao;Posição;;Rod br-153 - 0 a 0 - goiatuba - GO;;-18.105146;-49.275597
FKO9542;3060279;RSTVT;26/11/2017 23:40:14;26/11/2017 23:37:03;26/11/2017 23:37:03;Ligada;Desativado;28.0;657;Valido;82%;Nao;Posição;;Rod br-153 - 0 a 0 - goiatuba - GO;;-18.110043;-49.277279
