Placa: FRG8512
Dispositivo: 3053427 Fabricante: RSTVT
Proprietario: EXPRESSO RODOVIARIO TRANSCARMEN LTDA
Marca: 
Modelo: 
Cor: BRANCO
Distancia Total: 790.0 m
Velocidade Maxima: 1.0
Velocidade Media: 1.0
Tempo Total Ligado: 1h 4m
Motor Ocioso: 55m
Periodo: 26/11/2017 a 28/11/2017 - Data de Emissao: 29/11/2017

Placa;Dispositivo;Fabricante;Data Comunicacao;Data Posicao;Data Evento;Igni;Bloq;Vel;Alt;Val;Bat;On;Eventos;Sensores;Endereco;Motorista;Latitude;Longitude
FRG8512;3053427;RSTVT;26/11/2017 23:38:44;26/11/2017 23:38:08;26/11/2017 23:38:09;Desligada;Desativado;0.0;537;Valido;86%;Sim;Posição em Sleep;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967752;-49.033573
FRG8512;3053427;RSTVT;26/11/2017 22:38:43;26/11/2017 22:38:06;26/11/2017 22:38:07;Desligada;Desativado;0.0;536;Valido;86%;Sim;Posição em Sleep;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.96776;-49.033543
FRG8512;3053427;RSTVT;26/11/2017 21:36:53;26/11/2017 21:36:52;26/11/2017 21:36:52;Desligada;Desativado;0.0;551;Valido;86%;Sim;Modo Sleep;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967789;-49.033558
FRG8512;3053427;RSTVT;26/11/2017 21:36:20;26/11/2017 21:36:19;26/11/2017 21:36:19;Desligada;Desativado;0.0;549;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967798;-49.033539
FRG8512;3053427;RSTVT;26/11/2017 21:35:20;26/11/2017 21:35:18;26/11/2017 21:35:18;Desligada;Desativado;0.0;544;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967821;-49.033573
FRG8512;3053427;RSTVT;26/11/2017 21:34:20;26/11/2017 21:34:18;26/11/2017 21:34:18;Desligada;Desativado;0.0;548;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967793;-49.033577
FRG8512;3053427;RSTVT;26/11/2017 21:33:20;26/11/2017 21:33:18;26/11/2017 21:33:18;Desligada;Desativado;0.0;536;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967806;-49.033585
FRG8512;3053427;RSTVT;26/11/2017 21:32:20;26/11/2017 21:32:18;26/11/2017 21:32:18;Desligada;Desativado;0.0;536;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.96781;-49.033573
FRG8512;3053427;RSTVT;26/11/2017 21:31:19;26/11/2017 21:31:17;26/11/2017 21:31:18;Desligada;Desativado;0.0;535;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967812;-49.033592
FRG8512;3053427;RSTVT;26/11/2017 21:30:19;26/11/2017 21:30:17;26/11/2017 21:30:18;Desligada;Desativado;0.0;539;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967806;-49.033588
FRG8512;3053427;RSTVT;26/11/2017 21:29:19;26/11/2017 21:29:17;26/11/2017 21:29:18;Desligada;Desativado;0.0;536;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967815;-49.033596
FRG8512;3053427;RSTVT;26/11/2017 21:28:19;26/11/2017 21:28:17;26/11/2017 21:28:18;Desligada;Desativado;0.0;538;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967812;-49.033592
FRG8512;3053427;RSTVT;26/11/2017 21:27:19;26/11/2017 21:27:17;26/11/2017 21:27:17;Desligada;Desativado;0.0;540;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967806;-49.033588
FRG8512;3053427;RSTVT;26/11/2017 21:27:08;26/11/2017 21:27:07;26/11/2017 21:27:07;Desligada;Desativado;0.0;540;Valido;86%;Sim;Bateria: Conexão;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967804;-49.033588
FRG8512;3053427;RSTVT;26/11/2017 21:26:19;26/11/2017 21:26:17;26/11/2017 21:26:17;Desligada;Desativado;0.0;537;Valido;85%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967834;-49.033566
FRG8512;3053427;RSTVT;26/11/2017 21:25:21;26/11/2017 21:25:17;26/11/2017 21:25:17;Desligada;Desativado;0.0;534;Valido;85%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967833;-49.033577
FRG8512;3053427;RSTVT;26/11/2017 21:24:19;26/11/2017 21:24:17;26/11/2017 21:24:17;Desligada;Desativado;0.0;530;Valido;85%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967804;-49.033588
FRG8512;3053427;RSTVT;26/11/2017 21:23:19;26/11/2017 21:23:17;26/11/2017 21:23:17;Desligada;Desativado;0.0;522;Valido;85%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967861;-49.033577
FRG8512;3053427;RSTVT;26/11/2017 21:22:18;26/11/2017 21:22:17;26/11/2017 21:22:17;Desligada;Desativado;0.0;525;Valido;85%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967794;-49.033615
FRG8512;3053427;RSTVT;26/11/2017 21:21:19;26/11/2017 21:21:17;26/11/2017 21:21:17;Desligada;Desativado;0.0;523;Valido;85%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.96781;-49.033619
FRG8512;3053427;RSTVT;26/11/2017 21:20:18;26/11/2017 21:20:17;26/11/2017 21:20:17;Desligada;Desativado;0.0;525;Valido;85%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967827;-49.033585
FRG8512;3053427;RSTVT;26/11/2017 21:19:18;26/11/2017 21:19:16;26/11/2017 21:19:16;Desligada;Desativado;0.0;537;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.96781;-49.033569
FRG8512;3053427;RSTVT;26/11/2017 21:18:18;26/11/2017 21:18:16;26/11/2017 21:18:16;Desligada;Desativado;0.0;540;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967815;-49.033546
FRG8512;3053427;RSTVT;26/11/2017 21:17:18;26/11/2017 21:17:16;26/11/2017 21:17:16;Desligada;Desativado;0.0;539;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967825;-49.033543
FRG8512;3053427;RSTVT;26/11/2017 21:16:17;26/11/2017 21:16:16;26/11/2017 21:16:16;Desligada;Desativado;0.0;542;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.96781;-49.033535
FRG8512;3053427;RSTVT;26/11/2017 21:15:19;26/11/2017 21:15:16;26/11/2017 21:15:16;Desligada;Desativado;0.0;533;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967833;-49.03355
FRG8512;3053427;RSTVT;26/11/2017 21:14:17;26/11/2017 21:14:16;26/11/2017 21:14:16;Desligada;Desativado;0.0;534;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967834;-49.033562
FRG8512;3053427;RSTVT;26/11/2017 21:13:17;26/11/2017 21:13:16;26/11/2017 21:13:16;Desligada;Desativado;0.0;538;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967846;-49.033543
FRG8512;3053427;RSTVT;26/11/2017 21:12:17;26/11/2017 21:12:16;26/11/2017 21:12:15;Desligada;Desativado;0.0;543;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967825;-49.033558
FRG8512;3053427;RSTVT;26/11/2017 21:11:17;26/11/2017 21:11:15;26/11/2017 21:11:15;Desligada;Desativado;0.0;538;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967806;-49.033569
FRG8512;3053427;RSTVT;26/11/2017 21:10:17;26/11/2017 21:10:15;26/11/2017 21:10:15;Desligada;Desativado;0.0;535;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967819;-49.033566
FRG8512;3053427;RSTVT;26/11/2017 21:09:17;26/11/2017 21:09:15;26/11/2017 21:09:15;Desligada;Desativado;0.0;535;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967829;-49.033558
FRG8512;3053427;RSTVT;26/11/2017 21:08:16;26/11/2017 21:08:15;26/11/2017 21:08:15;Desligada;Desativado;0.0;540;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967819;-49.033546
FRG8512;3053427;RSTVT;26/11/2017 21:07:16;26/11/2017 21:07:15;26/11/2017 21:07:15;Desligada;Desativado;0.0;542;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967766;-49.03355
FRG8512;3053427;RSTVT;26/11/2017 21:06:16;26/11/2017 21:06:15;26/11/2017 21:06:15;Desligada;Desativado;0.0;541;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967781;-49.033566
FRG8512;3053427;RSTVT;26/11/2017 21:05:16;26/11/2017 21:05:15;26/11/2017 21:05:15;Desligada;Desativado;0.0;539;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.96777;-49.033558
FRG8512;3053427;RSTVT;26/11/2017 21:04:16;26/11/2017 21:04:14;26/11/2017 21:04:14;Desligada;Desativado;0.0;539;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967781;-49.033543
FRG8512;3053427;RSTVT;26/11/2017 21:03:16;26/11/2017 21:03:14;26/11/2017 21:03:14;Desligada;Desativado;0.0;542;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967806;-49.033527
FRG8512;3053427;RSTVT;26/11/2017 21:02:16;26/11/2017 21:02:14;26/11/2017 21:02:14;Desligada;Desativado;0.0;543;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967794;-49.033535
FRG8512;3053427;RSTVT;26/11/2017 21:01:15;26/11/2017 21:01:14;26/11/2017 21:01:14;Desligada;Desativado;0.0;541;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967793;-49.033535
FRG8512;3053427;RSTVT;26/11/2017 21:00:15;26/11/2017 21:00:14;26/11/2017 21:00:14;Desligada;Desativado;0.0;538;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967794;-49.033535
FRG8512;3053427;RSTVT;26/11/2017 20:59:15;26/11/2017 20:59:14;26/11/2017 20:59:14;Desligada;Desativado;0.0;536;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967796;-49.033543
FRG8512;3053427;RSTVT;26/11/2017 20:58:15;26/11/2017 20:58:14;26/11/2017 20:58:14;Desligada;Desativado;0.0;537;Valido;86%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967806;-49.033539
FRG8512;3053427;RSTVT;26/11/2017 20:57:15;26/11/2017 20:57:14;26/11/2017 20:57:13;Desligada;Desativado;0.0;535;Valido;87%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967812;-49.033527
FRG8512;3053427;RSTVT;26/11/2017 20:56:51;26/11/2017 20:06:52;26/11/2017 20:56:14;Desligada;Desativado;0.0;562;Valido;90%;Nao;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.96784;-49.033569
FRG8512;3053427;RSTVT;26/11/2017 20:56:49;26/11/2017 20:06:52;26/11/2017 20:56:13;Desligada;Desativado;0.0;562;Valido;89%;Sim;Bateria: Perda;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.96784;-49.033569
FRG8512;3053427;RSTVT;26/11/2017 20:07:28;26/11/2017 20:06:52;26/11/2017 20:06:52;Desligada;Desativado;0.0;562;Valido;88%;Sim;Posição em Sleep;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.96784;-49.033569
FRG8512;3053427;RSTVT;26/11/2017 19:07:24;26/11/2017 19:06:49;26/11/2017 19:06:49;Desligada;Desativado;0.0;542;Valido;88%;Sim;Posição em Sleep;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967836;-49.033485
FRG8512;3053427;RSTVT;26/11/2017 18:07:24;26/11/2017 18:06:49;26/11/2017 18:06:49;Desligada;Desativado;0.0;517;Valido;88%;Sim;Posição em Sleep;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967789;-49.033531
FRG8512;3053427;RSTVT;26/11/2017 17:05:32;26/11/2017 17:05:31;26/11/2017 17:05:31;Desligada;Desativado;0.0;542;Valido;88%;Sim;Modo Sleep;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967766;-49.033585
FRG8512;3053427;RSTVT;26/11/2017 17:05:02;26/11/2017 17:04:59;26/11/2017 17:04:58;Desligada;Desativado;0.0;545;Valido;88%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967766;-49.033607
FRG8512;3053427;RSTVT;26/11/2017 17:04:00;26/11/2017 17:03:58;26/11/2017 17:03:58;Desligada;Desativado;0.0;550;Valido;88%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967724;-49.033642
FRG8512;3053427;RSTVT;26/11/2017 17:03:00;26/11/2017 17:02:58;26/11/2017 17:02:58;Desligada;Desativado;0.0;540;Valido;88%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967743;-49.033588
FRG8512;3053427;RSTVT;26/11/2017 17:01:59;26/11/2017 17:01:58;26/11/2017 17:01:58;Desligada;Desativado;0.0;531;Valido;88%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967779;-49.033527
FRG8512;3053427;RSTVT;26/11/2017 17:00:59;26/11/2017 17:00:58;26/11/2017 17:00:58;Desligada;Desativado;0.0;533;Valido;88%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967806;-49.033501
FRG8512;3053427;RSTVT;26/11/2017 16:59:59;26/11/2017 16:59:57;26/11/2017 16:59:58;Desligada;Desativado;0.0;536;Valido;88%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967789;-49.033535
FRG8512;3053427;RSTVT;26/11/2017 16:58:59;26/11/2017 16:58:57;26/11/2017 16:58:57;Desligada;Desativado;0.0;543;Valido;88%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967779;-49.033569
FRG8512;3053427;RSTVT;26/11/2017 16:57:59;26/11/2017 16:57:57;26/11/2017 16:57:57;Desligada;Desativado;0.0;538;Valido;88%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967787;-49.033577
FRG8512;3053427;RSTVT;26/11/2017 16:56:59;26/11/2017 16:56:57;26/11/2017 16:56:57;Desligada;Desativado;0.0;541;Valido;88%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967773;-49.033611
FRG8512;3053427;RSTVT;26/11/2017 16:55:59;26/11/2017 16:55:57;26/11/2017 16:55:57;Desligada;Desativado;0.0;542;Valido;88%;Sim;Posição;;R Dr. Joao Batista Da Costa - 35 A 122 - 15880000 - tabapua - SP;;-20.967813;-49.033546
FRG8512;3053427;RSTVT;26/11/2017 16:55:40;26/11/2017 16:55:36;26/11/2017 16:55:36;Desligada;Desativado;0.0;541;Valido;88%;Sim;Ignição Off;;R dr. joao batista da costa - 35 a 122 - 15880000 - tabapua - SP;;-20.967791;-49.033546
FRG8512;3053427;RSTVT;26/11/2017 16:54:58;26/11/2017 16:54:57;26/11/2017 16:54:57;Ligada;Desativado;8.0;539;Valido;89%;Sim;Posição;;R dr. joao batista da costa - 1 a 34 - 15880000 - tabapua - SP;;-20.967918;-49.03302
FRG8512;3053427;RSTVT;26/11/2017 16:53:58;26/11/2017 16:53:57;26/11/2017 16:53:57;Ligada;Desativado;4.0;527;Valido;89%;Sim;Posição;;Av Dr. Jose Do Valle Pereira - 981 A 932 - 15880000 - tabapua - SP;;-20.96747;-49.032749
FRG8512;3053427;RSTVT;26/11/2017 16:52:58;26/11/2017 16:52:57;26/11/2017 16:52:57;Ligada;Desativado;1.0;544;Valido;89%;Sim;Posição;;Av Dr. Jose Do Valle Pereira - 981 A 932 - 15880000 - tabapua - SP;;-20.96772;-49.032715
FRG8512;3053427;RSTVT;26/11/2017 16:52:33;26/11/2017 16:20:31;26/11/2017 16:52:07;Ligada;Desativado;0.0;536;Valido;89%;Sim;Ignição On: V5.04;;Av Dr. Jose Do Valle Pereira - 981 A 932 - 15880000 - tabapua - SP;;-20.967545;-49.032703
FRG8512;3053427;RSTVT;26/11/2017 16:55:42;26/11/2017 16:20:31;26/11/2017 16:51:57;Desligada;Desativado;4.0;0;Valido;;Nao;Viagem;;Av dr. jose do valle pereira - 981 a 932 - 15880000 - tabapua - SP;;-20.967545;-49.032703
FRG8512;3053427;RSTVT;26/11/2017 16:20:02;26/11/2017 16:20:01;26/11/2017 16:20:01;Desligada;Desativado;0.0;542;Valido;88%;Sim;Modo Sleep;;Av Dr. Jose Do Valle Pereira - 981 A 932 - 15880000 - tabapua - SP;;-20.967516;-49.032696
FRG8512;3053427;RSTVT;26/11/2017 16:19:22;26/11/2017 16:19:21;26/11/2017 16:19:20;Desligada;Desativado;0.0;547;Valido;88%;Sim;Posição;;Av Dr. Jose Do Valle Pereira - 981 A 932 - 15880000 - tabapua - SP;;-20.967503;-49.032684
FRG8512;3053427;RSTVT;26/11/2017 16:18:22;26/11/2017 16:18:21;26/11/2017 16:18:20;Desligada;Desativado;0.0;555;Valido;88%;Sim;Posição;;Av Dr. Jose Do Valle Pereira - 981 A 932 - 15880000 - tabapua - SP;;-20.967522;-49.032742
FRG8512;3053427;RSTVT;26/11/2017 16:17:22;26/11/2017 16:17:21;26/11/2017 16:17:20;Desligada;Desativado;0.0;564;Valido;88%;Sim;Posição;;Av Dr. Jose Do Valle Pereira - 981 A 932 - 15880000 - tabapua - SP;;-20.967466;-49.032757
FRG8512;3053427;RSTVT;26/11/2017 16:16:22;26/11/2017 16:16:20;26/11/2017 16:16:20;Desligada;Desativado;0.0;558;Valido;88%;Sim;Posição;;Av Dr. Jose Do Valle Pereira - 981 A 932 - 15880000 - tabapua - SP;;-20.967533;-49.032692
FRG8512;3053427;RSTVT;26/11/2017 16:15:22;26/11/2017 16:15:20;26/11/2017 16:15:20;Desligada;Desativado;0.0;555;Valido;88%;Sim;Posição;;Av Dr. Jose Do Valle Pereira - 981 A 932 - 15880000 - tabapua - SP;;-20.967541;-49.032654
FRG8512;3053427;RSTVT;26/11/2017 16:14:22;26/11/2017 16:14:20;26/11/2017 16:14:20;Desligada;Desativado;0.0;539;Valido;88%;Sim;Posição;;Av Dr. Jose Do Valle Pereira - 981 A 932 - 15880000 - tabapua - SP;;-20.967607;-49.032677
FRG8512;3053427;RSTVT;26/11/2017 16:13:21;26/11/2017 16:13:20;26/11/2017 16:13:20;Desligada;Desativado;0.0;538;Valido;88%;Sim;Posição;;Av Dr. Jose Do Valle Pereira - 981 A 932 - 15880000 - tabapua - SP;;-20.967627;-49.032692
FRG8512;3053427;RSTVT;26/11/2017 16:12:21;26/11/2017 16:12:20;26/11/2017 16:12:20;Desligada;Desativado;0.0;546;Valido;88%;Sim;Posição;;Av Dr. Jose Do Valle Pereira - 981 A 932 - 15880000 - tabapua - SP;;-20.967606;-49.032696
