Placa: FTC5084
Dispositivo: 3060834 Fabricante: RSTVT
Proprietario: EXPRESSO RODOVIARIO TRANSCARMEN LTDA
Marca: 
Modelo: 
Cor: VERMELHO
Distancia Total: 669 Km
Velocidade Maxima: 105.0
Velocidade Media: 63.57
Tempo Total Ligado: 11h 11m
Motor Ocioso: 36m
Periodo: 26/11/2017 a 28/11/2017 - Data de Emissao: 29/11/2017

Placa;Dispositivo;Fabricante;Data Comunicacao;Data Posicao;Data Evento;Igni;Bloq;Vel;Alt;Val;Bat;On;Eventos;Sensores;Endereco;Motorista;Latitude;Longitude
FTC5084;3060834;RSTVT;26/11/2017 23:57:53;26/11/2017 23:57:52;26/11/2017 23:57:52;Desligada;Desativado;0.0;541;Valido;88%;Sim;Modo Sleep;;Av. Lino Prado - 555-677 - Campinorte - Go - 76410-000 - Brazil;;-14.303968;-49.148434
FTC5084;3060834;RSTVT;26/11/2017 23:57:22;26/11/2017 23:57:20;26/11/2017 23:57:20;Desligada;Desativado;0.0;541;Valido;88%;Sim;Posição;;Av. Lino Prado - 555-677 - Campinorte - Go - 76410-000 - Brazil;;-14.303967;-49.148445
FTC5084;3060834;RSTVT;26/11/2017 23:56:22;26/11/2017 23:56:20;26/11/2017 23:56:20;Desligada;Desativado;0.0;539;Valido;88%;Sim;Posição;;Av. Lino Prado - 555-677 - Campinorte - Go - 76410-000 - Brazil;;-14.303973;-49.148445
FTC5084;3060834;RSTVT;26/11/2017 23:55:22;26/11/2017 23:55:20;26/11/2017 23:55:20;Desligada;Desativado;0.0;541;Valido;88%;Sim;Posição;;Av. Lino Prado - 555-677 - Campinorte - Go - 76410-000 - Brazil;;-14.303973;-49.14846
FTC5084;3060834;RSTVT;26/11/2017 23:54:21;26/11/2017 23:54:20;26/11/2017 23:54:19;Desligada;Desativado;0.0;543;Valido;88%;Sim;Posição;;Av. Lino Prado - 555-677 - Campinorte - Go - 76410-000 - Brazil;;-14.303965;-49.148468
FTC5084;3060834;RSTVT;26/11/2017 23:53:22;26/11/2017 23:53:20;26/11/2017 23:53:19;Desligada;Desativado;0.0;544;Valido;88%;Sim;Posição;;Av. Lino Prado - 555-677 - Campinorte - Go - 76410-000 - Brazil;;-14.303962;-49.148468
FTC5084;3060834;RSTVT;26/11/2017 23:52:21;26/11/2017 23:52:19;26/11/2017 23:52:19;Desligada;Desativado;0.0;545;Valido;88%;Sim;Posição;;Av. Lino Prado - 555-677 - Campinorte - Go - 76410-000 - Brazil;;-14.303962;-49.148457
FTC5084;3060834;RSTVT;26/11/2017 23:51:21;26/11/2017 23:51:19;26/11/2017 23:51:19;Desligada;Desativado;0.0;545;Valido;88%;Sim;Posição;;Av. Lino Prado - 555-677 - Campinorte - Go - 76410-000 - Brazil;;-14.303955;-49.148434
FTC5084;3060834;RSTVT;26/11/2017 23:50:21;26/11/2017 23:50:19;26/11/2017 23:50:19;Desligada;Desativado;0.0;547;Valido;88%;Sim;Posição;;Av. Lino Prado - 555-677 - Campinorte - Go - 76410-000 - Brazil;;-14.303965;-49.14843
FTC5084;3060834;RSTVT;26/11/2017 23:49:20;26/11/2017 23:49:19;26/11/2017 23:49:19;Desligada;Desativado;0.0;547;Valido;88%;Sim;Posição;;Av. Lino Prado - 555-677 - Campinorte - Go - 76410-000 - Brazil;;-14.30394;-49.148441
FTC5084;3060834;RSTVT;26/11/2017 23:48:19;26/11/2017 23:48:17;26/11/2017 23:48:17;Desligada;Desativado;0.0;541;Valido;88%;Sim;Posição;;Av. Lino Prado - 555-677 - Campinorte - Go - 76410-000 - Brazil;;-14.303945;-49.14843
FTC5084;3060834;RSTVT;26/11/2017 23:47:58;26/11/2017 23:47:56;26/11/2017 23:47:56;Desligada;Desativado;0.0;540;Valido;88%;Sim;Ignição Off;;Av. lino prado - 555-677 - campinorte - go - 76410-000 - brazil;;-14.303957;-49.148418
FTC5084;3060834;RSTVT;27/11/2017 05:09:42;26/11/2017 23:47:51;26/11/2017 23:47:51;Desligada;Desativado;0.0;0;Valido;;Nao;Estacionamento;;Av. Bernardo Sayao - Campinorte - Go - 76410-000 - Brazil;;-14.303971;-49.148415
FTC5084;3060834;RSTVT;26/11/2017 23:47:19;26/11/2017 23:47:17;26/11/2017 23:47:16;Ligada;Desativado;3.0;539;Valido;88%;Sim;Posição;;Av. lino prado - 555-677 - campinorte - go - 76410-000 - brazil;;-14.30426;-49.148422
FTC5084;3060834;RSTVT;26/11/2017 23:46:18;26/11/2017 23:46:17;26/11/2017 23:46:16;Ligada;Desativado;5.0;543;Valido;88%;Sim;Posição;;Av. lino prado - 555-677 - campinorte - go - 76410-000 - brazil;;-14.303982;-49.148422
FTC5084;3060834;RSTVT;26/11/2017 23:45:18;26/11/2017 23:45:16;26/11/2017 23:45:16;Ligada;Desativado;6.0;539;Valido;88%;Sim;Posição;;Av. bernardo sayao - campinorte - go - 76410-000 - brazil;;-14.303351;-49.148281
FTC5084;3060834;RSTVT;26/11/2017 23:44:18;26/11/2017 23:44:16;26/11/2017 23:44:16;Ligada;Desativado;29.0;541;Valido;88%;Sim;Posição;;Belem-brasilia highway - 2663-2789 - campinorte - go - 76410-000 - brazil;;-14.304321;-49.147739
FTC5084;3060834;RSTVT;26/11/2017 23:43:18;26/11/2017 23:43:16;26/11/2017 23:43:16;Ligada;Desativado;31.0;546;Valido;88%;Sim;Posição;;Belem-brasilia highway - 2663-2789 - campinorte - go - 76410-000 - brazil;;-14.311234;-49.149178
FTC5084;3060834;RSTVT;26/11/2017 23:42:19;26/11/2017 23:42:15;26/11/2017 23:42:16;Ligada;Desativado;25.0;547;Valido;88%;Sim;Posição;;Belem-brasilia highway - 2663-2789 - campinorte - go - 76410-000 - brazil;;-14.315062;-49.150078
FTC5084;3060834;RSTVT;26/11/2017 23:41:17;26/11/2017 23:41:15;26/11/2017 23:41:15;Ligada;Desativado;55.0;543;Valido;88%;Sim;Posição;;Belem-brasilia highway - 2663-2789 - campinorte - go - 76410-000 - brazil;;-14.318145;-49.15078
FTC5084;3060834;RSTVT;26/11/2017 23:40:17;26/11/2017 23:40:15;26/11/2017 23:40:15;Ligada;Desativado;60.0;558;Valido;88%;Sim;Posição;;Belem-brasilia highway - 2663-2789 - campinorte - go - 76410-000 - brazil;;-14.328045;-49.153065
FTC5084;3060834;RSTVT;26/11/2017 23:39:17;26/11/2017 23:39:15;26/11/2017 23:39:15;Ligada;Desativado;45.0;565;Valido;88%;Sim;Posição;;Belem-brasilia highway - campinorte - go - 76410-000 - brazil;;-14.335905;-49.154873
FTC5084;3060834;RSTVT;26/11/2017 23:38:51;26/11/2017 23:38:15;26/11/2017 23:38:15;Ligada;Desativado;28.0;558;Valido;88%;Nao;Posição;;Rod br-153 - 0 a 0 - campinorte - GO;;-14.341581;-49.156174
FTC5084;3060834;RSTVT;26/11/2017 23:38:47;26/11/2017 23:37:15;26/11/2017 23:37:15;Ligada;Desativado;30.0;540;Valido;88%;Nao;Posição;;Belem-brasilia highway - campinorte - go - 76410-000 - brazil;;-14.34554;-49.15707
