Placa: NGC4089
Dispositivo: 3051239 Fabricante: RSTVT
Proprietario: EXPRESSO RODOVIARIO TRANSCARMEN LTDA
Marca: SCANIA VABIS
Modelo: 
Cor: BRANCO
Distancia Total: 457 Km
Velocidade Maxima: 117.0
Velocidade Media: 71.87
Tempo Total Ligado: 8h 7m
Motor Ocioso: 52m
Periodo: 26/11/2017 a 28/11/2017 - Data de Emissao: 29/11/2017

Placa;Dispositivo;Fabricante;Data Comunicacao;Data Posicao;Data Evento;Igni;Bloq;Vel;Alt;Val;Bat;On;Eventos;Sensores;Endereco;Motorista;Latitude;Longitude
NGC4089;3051239;RSTVT;26/11/2017 23:11:06;26/11/2017 23:10:31;26/11/2017 23:10:31;Desligada;Desativado;0.0;604;Valido;88%;Sim;Posição em Sleep;;Rod. Transbrasiliana - 400 - Goiatuba - Go - 75600-000 - Brazil;;-18.132729;-49.284786
NGC4089;3051239;RSTVT;26/11/2017 22:09:59;26/11/2017 22:09:16;26/11/2017 22:09:16;Desligada;Desativado;0.0;599;Valido;88%;Sim;Modo Sleep;;Rod. Transbrasiliana - 400 - Goiatuba - Go - 75600-000 - Brazil;;-18.132753;-49.284779
NGC4089;3051239;RSTVT;26/11/2017 22:08:51;26/11/2017 22:08:50;26/11/2017 22:08:49;Desligada;Desativado;0.0;600;Valido;88%;Sim;Posição;;Rod. Transbrasiliana - 400 - Goiatuba - Go - 75600-000 - Brazil;;-18.13274;-49.284779
NGC4089;3051239;RSTVT;26/11/2017 22:08:46;26/11/2017 22:08:40;26/11/2017 22:08:40;Desligada;Desativado;0.0;601;Valido;88%;Nao;Operadora Celular: VIVO;;Rod. Transbrasiliana - 400 - Goiatuba - Go - 75600-000 - Brazil;;-18.132742;-49.284775
NGC4089;3051239;RSTVT;26/11/2017 22:08:45;26/11/2017 22:07:49;26/11/2017 22:07:49;Desligada;Desativado;0.0;609;Valido;88%;Nao;Posição;;Rod. Transbrasiliana - 400 - Goiatuba - Go - 75600-000 - Brazil;;-18.132694;-49.284756
NGC4089;3051239;RSTVT;26/11/2017 22:08:43;26/11/2017 22:06:49;26/11/2017 22:06:49;Desligada;Desativado;0.0;600;Valido;88%;Sim;Posição;;Rod. Transbrasiliana - 400 - Goiatuba - Go - 75600-000 - Brazil;;-18.132734;-49.284752
NGC4089;3051239;RSTVT;26/11/2017 22:05:48;26/11/2017 22:05:46;26/11/2017 22:05:47;Desligada;Desativado;0.0;617;Valido;86%;Sim;Posição;;Rod. Transbrasiliana - 400 - Goiatuba - Go - 75600-000 - Brazil;;-18.132696;-49.284782
NGC4089;3051239;RSTVT;26/11/2017 22:06:15;26/11/2017 22:05:15;26/11/2017 22:05:16;Desligada;Desativado;0.0;614;Valido;87%;Nao;Operadora Celular;;Rod. Transbrasiliana - 400 - Goiatuba - Go - 75600-000 - Brazil;;-18.132713;-49.284794
NGC4089;3051239;RSTVT;26/11/2017 22:06:12;26/11/2017 22:04:45;26/11/2017 22:04:45;Desligada;Desativado;0.0;611;Valido;88%;Nao;Posição;;Rod. Transbrasiliana - 400 - Goiatuba - Go - 75600-000 - Brazil;;-18.132706;-49.284767
NGC4089;3051239;RSTVT;26/11/2017 22:06:08;26/11/2017 22:03:45;26/11/2017 22:03:45;Desligada;Desativado;0.0;615;Valido;88%;Nao;Posição;;Rod. Transbrasiliana - 400 - Goiatuba - Go - 75600-000 - Brazil;;-18.132694;-49.28474
