Placa: NLO1820
Dispositivo: 3053605 Fabricante: RSTVT
Proprietario: EXPRESSO RODOVIARIO TRANSCARMEN LTDA
Marca: 
Modelo: 
Cor: BRANCO
Distancia Total: 636 Km
Velocidade Maxima: 134.0
Velocidade Media: 75.09
Tempo Total Ligado: 9h 57m
Motor Ocioso: 9m
Periodo: 26/11/2017 a 28/11/2017 - Data de Emissao: 29/11/2017

Placa;Dispositivo;Fabricante;Data Comunicacao;Data Posicao;Data Evento;Igni;Bloq;Vel;Alt;Val;Bat;On;Eventos;Sensores;Endereco;Motorista;Latitude;Longitude
NLO1820;3053605;RSTVT;26/11/2017 23:59:11;26/11/2017 23:59:09;26/11/2017 23:59:09;Ligada;Desativado;68.0;10;Valido;88%;Sim;Posição;;Rod sp-150 - 0 a 0 - 11095000 - santos - SP;;-23.928152;-46.367756
NLO1820;3053605;RSTVT;26/11/2017 23:58:11;26/11/2017 23:58:09;26/11/2017 23:58:09;Ligada;Desativado;46.0;13;Valido;88%;Sim;Posição;;Vd dr. paulo bonavides - 0 a 0 - santos - SP;;-23.926937;-46.363152
NLO1820;3053605;RSTVT;26/11/2017 23:57:11;26/11/2017 23:57:09;26/11/2017 23:57:09;Ligada;Desativado;15.0;11;Valido;88%;Sim;Posição;;Rua augusto scaraboto - cubatao - sp;;-23.923855;-46.362518
NLO1820;3053605;RSTVT;26/11/2017 23:56:10;26/11/2017 23:56:09;26/11/2017 23:56:09;Ligada;Desativado;60.0;12;Valido;88%;Sim;Posição;;Avenida engenheiro augusto barata - cubatao - sp;;-23.924793;-46.358532
NLO1820;3053605;RSTVT;26/11/2017 23:55:10;26/11/2017 23:55:08;26/11/2017 23:55:09;Ligada;Desativado;17.0;12;Valido;88%;Sim;Posição;;Av eng. antonio alves freire - 9 a 10 - 11095650 - santos - SP;;-23.926023;-46.351025
NLO1820;3053605;RSTVT;26/11/2017 23:54:10;26/11/2017 23:54:08;26/11/2017 23:54:08;Ligada;Desativado;0.0;15;Valido;88%;Sim;Posição;;Av eng. antonio alves freire - 9 a 10 - 11095650 - santos - SP;;-23.926332;-46.349758
NLO1820;3053605;RSTVT;26/11/2017 23:53:10;26/11/2017 23:53:08;26/11/2017 23:53:08;Ligada;Desativado;26.0;14;Valido;87%;Sim;Posição;;Avenida engenheiro augusto barata - cubatao - sp;;-23.92664;-46.347576
NLO1820;3053605;RSTVT;26/11/2017 23:52:10;26/11/2017 23:52:08;26/11/2017 23:52:08;Ligada;Desativado;43.0;0;Valido;88%;Sim;Posição;;Av eng. antonio alves freire - 5 a 6 - 11095650 - santos - SP;;-23.928062;-46.338737
NLO1820;3053605;RSTVT;26/11/2017 23:51:10;26/11/2017 23:51:08;26/11/2017 23:51:08;Ligada;Desativado;27.0;1;Valido;88%;Sim;Posição;;Av eng. antonio alves freire - 0 a 0 - 11095650 - santos - SP;;-23.929609;-46.334171
NLO1820;3053605;RSTVT;26/11/2017 23:50:10;26/11/2017 23:50:08;26/11/2017 23:50:08;Ligada;Desativado;43.0;2;Valido;87%;Sim;Posição;;R antonio prado - 29 a 30 - 11010230 - santos - SP;;-23.932068;-46.327488
NLO1820;3053605;RSTVT;26/11/2017 23:49:09;26/11/2017 23:49:08;26/11/2017 23:49:07;Ligada;Desativado;55.0;1;Valido;88%;Sim;Posição;;R xavier da silveira - 0 a 0 - 11013050 - santos - SP;;-23.932512;-46.322014
